"priority","source_type","key","screen","source_hr","target","match_policy","status","notes","activity","view_id"
"P1","android_resource","a11y_precac","main","Prečac","快捷操作","resource_name","draft","主界面快捷操作按钮","",""
"P1","android_resource","a11y_moj_a1_dashboard_title","dashboard","Početni zaslon MojA1 s pregledom usluga","Moj A1 服务概览首页","resource_name","draft","TalkBack 页面标题","",""
"P1","android_resource","trend","navigation","Trend","趋势","resource_name","draft","底部导航","",""
"P1","android_resource","profile","navigation","Profil","个人资料","resource_name","draft","底部导航","",""
"P1","android_resource","shop","navigation","Shop","商城","resource_name","draft","底部导航","",""
"P1","android_resource","logout_title","settings","Odjava","退出登录","resource_name","draft","只翻译按钮，不触发退出","",""
"P1","android_resource","app_settings","settings","Postavke aplikacije","应用设置","resource_name","draft","设置页标题","",""
"P1","android_resource","notifications_settings","settings","Postavke notifikacija","通知设置","resource_name","draft","设置入口","",""
"P1","android_resource","notifications_settings_text","settings","Postavke sadržaja obavijesti","通知内容设置","resource_name","draft","设置入口说明","",""
"P1","android_resource","about_a1_network","settings","O A1 mreži","关于 A1 网络","resource_name","draft","设置分组","",""
"P1","android_resource","terms_of_use_text","settings","Pravne obavijesti","法律声明","resource_name","draft","只翻译入口说明，法律正文不处理","",""
"P1","android_resource","contact_information","settings","Kontakt podaci","联系信息","resource_name","draft","设置入口","",""
"P1","android_resource","contact_information_text","settings","Telefonski brojevi i adrese","电话号码和地址","resource_name","draft","设置入口说明","",""
"P1","android_resource","faq","settings","Najčešća pitanja i odgovori","常见问题","resource_name","draft","设置入口","",""
"P1","android_resource","avoid_confusion","settings","Izbjegni nedoumice","解答常见疑问","resource_name","draft","设置入口说明","",""
"P1","android_resource","about_application","settings","O aplikaciji","关于应用","resource_name","draft","设置分组","",""
"P1","android_resource","instructions_settings","settings","Upute za korištenje","使用指南","resource_name","draft","设置入口","",""
"P1","android_resource","instructions_settings_text","settings","Upoznaj Moj A1 aplikaciju","了解 Moj A1 应用","resource_name","draft","设置入口说明","",""
"P1","android_resource","app_version","settings","Verzija aplikacije","应用版本","resource_name","draft","版本号本身保持原样","",""
"P1","android_resource","design_develop","settings","Dizajn i razvoj","设计与开发","resource_name","draft","开发者名称保持原样","",""
"P1","android_resource","buy_token_webshop","shop","Kupi bon u webshopu","在网上商城购买充值券","resource_name","draft","不自动打开网页","",""
"P1","android_resource","surcharge_token","shop","Unesi bon","输入充值码","resource_name","draft","充值入口","",""
"P1","android_resource","renew_token_new","voucher","Obnovi račun bonom","使用充值券充值","resource_name","draft","不提交充值码","",""
"P1","android_resource","token_14_digit_token","voucher","14-znamenkasti broj s bona","充值券上的 14 位号码","resource_name","draft","长度与号码值不得改变","",""
"P1","android_resource","a11y_unesite_kod_bona","voucher","Unesite kod bona","输入充值码","resource_name","draft","输入值永不替换或记录","",""
"P1","android_resource","scan_token","voucher","Skeniraj bon kamerom","用相机扫描充值券","resource_name","draft","只翻译按钮，不调用相机","",""
"P1","server_exact","server.p1.dashboard.notifications_a11y","dashboard","Obavijesti","通知","exact+activity+view_id","draft","顶部通知按钮无障碍标签","hr.infinum.mojvip.ui.main.MainActivity","actionTouchTargetArea"
"P1","server_exact","server.p1.dashboard.settings_a11y","dashboard","Postavke","设置","exact+activity+view_id","draft","顶部设置按钮无障碍标签","hr.infinum.mojvip.ui.main.MainActivity","actionTouchTargetArea"
"P1","server_exact","server.p1.dashboard.basic_title","dashboard","Imaš osnovnu tarifu","你正在使用基础套餐","exact+activity+view_id","draft","服务端首页卡片","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.dashboard.basic_body","dashboard","Ona traje dok ne uključiš neku od povoljnijih mjesečnih tarifa. Surfaj i zovi bez brige!","在你启用其他更优惠的月度套餐前，此套餐会一直有效。放心上网和通话！","exact+activity+view_id","draft","服务端首页卡片","hr.infinum.mojvip.ui.main.MainActivity","descriptionLabel"
"P1","server_exact","server.p1.offer","dashboard_profile","Pogledaj ponudu","查看套餐","exact+activity+view_id","draft","首页与资料页按钮文字","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.dashboard.intro_title","dashboard","Upoznajmo se i uzmi 3 eura","完善资料，领取 3 欧元","exact+activity+view_id","draft","服务端活动卡片，金额仅当前活动精确匹配","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.dashboard.intro_body","dashboard","Ako želiš da te zovemo pravim imenom, ostavi nam svoje podatke i uzmi 3 eura!","留下个人资料，让我们以正确的名字称呼你，并领取 3 欧元！","exact+activity+view_id","draft","服务端活动卡片","hr.infinum.mojvip.ui.main.MainActivity","descriptionLabel"
"P1","server_exact","server.p1.dashboard.register","dashboard","Registriraj se!","注册","exact+activity+view_id","draft","只翻译按钮，不提交资料","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.dashboard.snack_title","dashboard","Zgrabi snack!","领取流量加餐！","exact+activity+view_id","draft","服务端轮播卡片","hr.infinum.mojvip.ui.main.MainActivity","cardTitle"
"P1","server_exact","server.p1.dashboard.snack_body","dashboard","Kada trebaš podebljati tarifu, snackovi su tu za tebe!","需要增加套餐流量时，流量加餐随时为你准备！","exact+activity+view_id","draft","服务端轮播卡片","hr.infinum.mojvip.ui.main.MainActivity","cardBody"
"P1","server_exact","server.p1.dashboard.roaming_title","dashboard","Roaming obavijest!","漫游提示！","exact+activity+view_id","draft","服务端提示卡片","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.dashboard.roaming_body","dashboard","Cjelokupan iznos MB iz trenutno aktivne tarife možeš trošiti u inozemstvu EU/EEA bez dodatne roaming naknade","当前套餐中的全部 MB 流量可在欧盟/欧洲经济区使用，无需支付额外漫游费。","exact+activity+view_id","draft","保留 MB 与 EU/EEA","hr.infinum.mojvip.ui.main.MainActivity","contentLabel"
"P1","server_exact","server.p1.profile.title","profile","Moj profil","我的资料","exact+activity+view_id","draft","实际页面另有尾随空格别名","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.profile.prepaid_label","profile","A1 tarifa na bonove","A1 预付费套餐","exact+activity+view_id","draft","号码与余额保持原样","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.profile.start_plan","profile","Start na bonove","Start 预付费套餐","exact+activity+view_id","draft","Start 为产品名","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.profile.change_plan","profile","Promijeni tarifu","更换套餐","exact+activity+view_id","draft","不触发套餐变更","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.profile.postpaid_title","profile","Zanima te pretplata?","想了解后付费套餐吗？","exact+activity+view_id","draft","服务端推荐卡片","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.profile.postpaid_body","profile","Odaberi tarifu po svojoj mjeri i uživaj u puno giga i minuta!","选择适合你的套餐，畅享充足流量和通话分钟数！","exact+activity+view_id","draft","服务端推荐卡片","hr.infinum.mojvip.ui.main.MainActivity","descriptionLabel"
"P1","server_exact","server.p1.offer.browser_a11y","profile","Pogledaj ponudu. Otvara se u pregledniku","查看套餐，将在浏览器中打开","exact+activity+view_id","draft","无障碍说明","hr.infinum.mojvip.ui.main.MainActivity","simpleButton"
"P1","server_exact","server.p1.profile.requests_heading","profile","Zahtjevi","申请","exact+activity+view_id","draft","服务端分组标题","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.profile.requests_title","profile","Moj A1 zahtjevi","Moj A1 申请","exact+activity+view_id","draft","服务端入口","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.profile.requests_subtitle","profile","Statusi Moj A1 aktivacija i usluga","查看 Moj A1 开通和服务申请状态","exact+activity+view_id","draft","服务端入口说明","hr.infinum.mojvip.ui.main.MainActivity","subtitleLabel"
"P1","server_exact","server.p1.trend.graph_title","trend","Trend uplate bonova","充值趋势","exact+activity+view_id","draft","图表月份缩写由图表组件绘制，暂不修改","hr.infinum.mojvip.ui.main.MainActivity","billGraphTitle"
"P1","server_exact","server.p1.trend.history_heading","trend","Pregled uplata","充值记录","exact+activity+view_id","draft","日期金额保持原样","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.shop.options_heading","shop","Opcije i tarife","选项和套餐","exact+activity+view_id","draft","商城分组","hr.infinum.mojvip.ui.main.MainActivity","shopSectionTitle"
"P1","server_exact","server.p1.shop.surf","shop","Voliš surfati?","喜欢上网？","exact+activity+view_id","draft","商城入口","hr.infinum.mojvip.ui.main.MainActivity","shopSectionItemTitle"
