"priority","source_type","key","screen","source_hr","target","match_policy","status","notes"
"P0","android_resource","_continue","common","Nastavi","继续","resource_name","draft","通用按钮"
"P0","android_resource","a11y_back","common","Natrag","返回","resource_name","draft","无障碍标签；不替换可见用户输入"
"P0","android_resource","a11y_close","common","Zatvori","关闭","resource_name","draft","无障碍标签"
"P0","android_resource","a11y_prelogin_title","prelogin","Početni zaslon za prijavu u MojA1","Moj A1 登录首页","resource_name","draft","TalkBack 页面标题"
"P0","android_resource","cancel","common","Odustani","取消","resource_name","draft","通用按钮"
"P0","android_resource","ok","common","U redu","确定","resource_name","draft","通用按钮"
"P0","android_resource","try_again","common_error","Pokušaj ponovno","重试","resource_name","draft","通用错误按钮"
"P0","android_resource","login_vip_network","prelogin","Prijavi se preko A1 mreže","通过 A1 网络登录","resource_name","draft","已在 initial.xml 核对"
"P0","android_resource","login_insert_msisdn","prelogin","Prijava brojem mobitela","使用手机号登录","resource_name","draft","已在 initial.xml 核对"
"P0","android_resource","login_insert_data","prelogin","Unesi podatke za prijavu","输入登录信息","resource_name","draft","账号密码登录入口"
"P0","android_resource","login_non_a1","prelogin","Još nisam A1 korisnik","我还不是 A1 用户","resource_name","draft","已在 initial.xml 核对"
"P0","android_resource","registration","prelogin","Poveži račun","关联账户","resource_name","draft","račun 在此为账户，不是账单"
"P0","android_resource","msisdn_login_title","phone_login","Unesi broj telefona za prijavu","输入登录手机号","resource_name","draft","已在 phone_login_screen.xml 核对"
"P0","android_resource","msisdn_login_input_hint","phone_login","Broj mobitela","手机号","resource_name","draft","字段标签；禁止替换 EditText 的实际输入"
"P0","android_resource","msisdn_login_input_placeholder","phone_login","9X XXX XXXX","9X XXX XXXX","preserve_exact","locked","号码格式掩码不得翻译或改变"
"P0","android_resource","login","login","Prijavi se","登录","resource_name","draft","登录按钮"
"P0","android_resource","terms_of_use","login","Uvjeti korištenja","使用条款","resource_name","draft","仅链接标签；法律正文保留原文"
"P0","android_resource","login_a1_insert_data","credentials_login","Unesi podatke za prijavu u aplikaciju","输入应用登录信息","resource_name","draft","已在 credentials_login_screen.xml 核对"
"P0","android_resource","username","credentials_login","Korisničko ime","用户名","resource_name","draft","只替换 hint/label，不替换用户输入"
"P0","android_resource","password","credentials_login","Lozinka","密码","resource_name","draft","只替换 hint/label，不读取密码"
"P0","android_resource","forget_password","credentials_login","Zaboravljena lozinka?","忘记密码？","resource_name","draft","已在 credentials_login_screen.xml 核对"
"P0","android_resource","error.username_missing","credentials_login_error","Molimo unesi korisničko ime","请输入用户名","resource_name","draft","格式无占位符"
"P0","android_resource","error.password_missing","credentials_login_error","Molimo unesi lozinku","请输入密码","resource_name","draft","格式无占位符"
"P0","android_resource","login_auth_error","login_error","Došlo je do problema s autentikacijom.","身份验证出现问题。","resource_name","draft","不得改变认证流程"
"P0","android_resource","error_login","login_error","Došlo je do greške prilikom logina. Molimo pokušajte ponovno kasnije.","登录时出错，请稍后重试。","resource_name","draft","通用登录错误"
"P0","android_resource","error_internet_data","network_error","Došlo je do greške: uređaj nema pristup internetu. Potrebno ga je uključiti kako bi pristup A1 mreži bio moguć.","发生错误：设备无法连接互联网。请开启网络，以便访问 A1 网络。","resource_name","draft","不得自动打开网络设置或改变请求"
"P0","android_resource","login_info_header","login_info","Zapamti moje podatke","记住我的登录信息","resource_name","draft","安全相关开关标题"
"P0","android_resource","login_info_confirm","login_info","Potvrdi","确认","resource_name","draft","安全相关确认按钮"
"P0","android_resource","login_settings","login_settings","Postavke za prijavu","登录设置","resource_name","draft","设置标题"
